
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000430                       # Number of seconds simulated (Second)
simTicks                                    429674000                       # Number of ticks simulated (Tick)
finalTick                                   429674000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      2.81                       # Real time elapsed on the host (Second)
hostTickRate                                152964149                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2364824                       # Number of bytes of host memory used (Byte)
simInsts                                       675018                       # Number of instructions simulated (Count)
simOps                                         796105                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     283294                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           429675                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.636539                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.570997                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          853588                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      278                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         812614                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   6400                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                57760                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             61097                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 148                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              419507                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.937069                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.717189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     95462     22.76%     22.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     62080     14.80%     37.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    146223     34.86%     72.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     53245     12.69%     85.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     48522     11.57%     96.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      7388      1.76%     98.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1335      0.32%     98.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        77      0.02%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       102      0.02%     98.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::9                       160      0.04%     98.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::10                      554      0.13%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::11                     1328      0.32%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::12                     3031      0.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                12                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                419507                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  145425     23.63%     23.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   4385      0.71%     24.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   73381     11.92%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    4      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                16      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     36.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  67772     11.01%     47.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     47.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     15      0.00%     47.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                  11949      1.94%     49.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     49.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                117683     19.12%     68.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 66725     10.84%     79.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                123      0.02%     79.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     79.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  258      0.04%     79.24% # attempts to use FU when none available (Count)
